From city		To country		Number of nights		Type of tourist		Number of adults		Amount of children
Tbilisi			Austria			10						adult				3						0
Minsk			Finland			20						child				4						4
Kair			Italy			15						child				3						3
Warshawa		France			20						adult				3						2
Kair			Switzerland		15						adult				4						1
Warshawa		Italy			10						adult				2						4
Tbilisi			Switzerland		10						child				1						3
Warshawa		Austria			15						child				5						2
Minsk			Finland			15						adult				1						2
Tbilisi			France			10						child				4						2
Kair			Italy			20						adult				5						0
Kair			France			15						adult				1						4
Tbilisi			Italy			20						child				1						1
Minsk			Switzerland		20						child				2						2
Tbilisi			France			15						child				2						0
Minsk			Austria			10						adult				2						1
Kair			Italy			10						child				4						2
Minsk			Finland			10						adult				5						0
Warshawa		Finland			20						adult				3						1
Warshawa		Austria			20						adult				4						3
Tbilisi			Switzerland		10						adult				5						4
Kair			Finland			10						adult				2						3
Kair			Austria			10						adult				1						4
Warshawa		Switzerland		20						adult				3						4
Warshawa		Switzerland		20						adult				1						0
Minsk			France			15						adult				5						1
Minsk			Italy			20						child				4						0
Minsk			France			10						adult				5						3
Tbilisi			Finland			10						child				4						2
Minsk			France			20						adult				3						3
